title,id,taxonomy
Air Quality,50,
Art & Crafts,2,family_rank
Cats,51,
Circumcision,27,
Cognition,22,
cognitive capacity,18,
COVID-19,19,
COVID-19 immunity,16,
Democracy,25,
diet,29,
Education,44,
Environment,8,family_rank
environmentalism,30,
Events & News,4,family_rank
fasting,34,
Food,10,family_rank
freedom,26,
Gender,31,
Gifted students,43,
Global warming,52,
Health,11,family_rank
HIV,24,
life extension,35,
long term COVID-19 effects,20,
Mars,7,family_rank
Masks,15,
Other planets,6,family_rank
personality,47,
Places,9,family_rank
Religion & Spirituality,3,family_rank
Sex,23,
Sexuality,33,
Smartphone,17,
Teaching,42,
The sun,5,family_rank
Transgender,32,
United States,46,
Vegetarianism,28,
water,21,
